Role, Story, Acceptance Criteria, Priority
Admin,As an admin I want to sign up and select my role so that I can start using the app.,"Given I open the app, when I sign up with email/password or Google/Apple, then I am asked to select my role (Library Owner or Student). Selection saved permanently.",P0
Admin,As an admin I want to complete my profile so that I can progress through onboarding.,"Given I am a new admin, when I go to Profile or setup card, I can fill name, phone, gender, DOB, and optionally upload photo. Fields saved and step marked complete.",P0
Admin,As an admin I want to create a library with basic details so that I can start managing it.,"Given I am an admin with no library, when I open the app, Library Setup Stage 1 opens automatically. I enter name, address, city, state, PIN, upload up to 4 photos, select amenities, and save. A unique library code (SIL-XXXXXX) is generated.",P0
Admin,As an admin I want to define shifts and pricing plans so that members can choose accordingly.,"Given I am setting up a library, when I go to Stage 3, I can add shifts with name, start/end time, monthly/3-month/6-month prices, and trial days. Shifts are saved via upsert (soft delete). Overlap warning shown.",P0
Admin,As an admin I want to create floors, sections, and seats so that I can manage the physical layout.,"Given I am in Layout Setup, when I add floors, sections, and generate seats (bulk or single), the seat grid is created. Seats are stored with labels, shift assignments, and occupancy status.",P0
Admin,As an admin I want to launch my library so that it becomes operational for members.,"Given all 4 setup steps are complete, when I tap 'Launch Library', the setup card disappears and the full operational dashboard becomes active. Members can now join.",P0
Admin,As an admin I want to see a real-time dashboard with key stats so that I know what's happening.,"Given I am on Admin Home, I see revenue this month, active today, expired members, new joinings, expiring soon, and live occupancy donut chart. All stats are tappable and filter the members list.",P0
Admin,As an admin I want to view and manage all members so that I can track their status.,"Given I go to Reservations → Members, I see a list of members with filters (All, Active, Expired, Trial, Hold, etc.). I can search, tap a member to view details, and edit or renew membership.",P0
Admin,As an admin I want to approve or reject join requests so that I can control who joins.,"Given a member applies, I see the request in Reservations → Requests. I can view payment proof, confirm/reject payment, then approve membership (assign seat) or reject with reason. Aging indicator and notifications.",P0
Admin,As an admin I want to confirm cash and UPI payments so that member membership becomes active.,"Given a join request with payment proof, I see the payment details. For UPI, I see screenshot and sender name. I can confirm or reject. For cash, I record receipt photo and mark as received. Member notified.",P0
Admin,As an admin I want to manually check in a member when QR fails so that attendance is still recorded.,"Given a member cannot scan, I can tap 'Mark Present' on Today's Attendance strip or add manual entry from Member Detail → Attendance tab. I must provide a reason. Entry flagged as 'Manual' in analytics.",P0
